id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1359128627934339078,1359128627934339078,2021-02-09 21:14:50 Malay Peninsula Standard Time,2021-02-09,21:14:50,+0800,1070116592095236102,qpatriota2005us,un Trumper Facho 💙🇬🇹🇺🇲🐍💛🖤,,God bless Trump and God Save America! #HashemWillDo #TrumpImpeachment #impeachment #ImpeachmentDay #Trump2020 #TrumpsNewArmy #Trump #TrumpWon #TrumpWin #Demoniocratas #SleepyJoe #FakeNews #GodBlessPresidentTrump #GodSaveAmerica #MAGA #MAGAFOREVER #BLMTerrorist  https://t.co/to8vVKhZQ7,en,[],[],['https://pbs.twimg.com/media/EtyYSLFXYAEp-oi.jpg'],0,0,0,"['hashemwilldo', 'trumpimpeachment', 'impeachment', 'impeachmentday', 'trump2020', 'trumpsnewarmy', 'trump', 'trumpwon', 'trumpwin', 'demoniocratas', 'sleepyjoe', 'fakenews', 'godblesspresidenttrump', 'godsaveamerica', 'maga', 'magaforever', 'blmterrorist']",[],https://twitter.com/QPatriota2005US/status/1359128627934339078,False,,1,https://pbs.twimg.com/media/EtyYSLFXYAEp-oi.jpg,,,,,,,[],,,,
1359125228035653639,1359125228035653639,2021-02-09 21:01:20 Malay Peninsula Standard Time,2021-02-09,21:01:20,+0800,939901325579517962,eyecouldbewrong,The Search for Truth,,"An election held on a public blockchain would legitimize all votes, prevent fraud, automate audit N cast out fraudulent votes to ensure validity. #republican #democratic #democracy #Election2020  #ElectionResults2020 #trump #biden #Biden2020 #Trump2020 #Vote2020 #ElectionDay",en,[],[],[],0,0,0,"['republican', 'democratic', 'democracy', 'election2020', 'electionresults2020', 'trump', 'biden', 'biden2020', 'trump2020', 'vote2020', 'electionday']",[],https://twitter.com/EyeCouldBeWrong/status/1359125228035653639,False,,0,,,,,,,,[],,,,
1359123569934962689,1359123569934962689,2021-02-09 20:54:45 Malay Peninsula Standard Time,2021-02-09,20:54:45,+0800,2406693511,kk_ftt,kk_ftt,,#FightForTrump #FightForAmerica #MAGA #StopTheSteaI #Trump2020 #Trump #DonaldTrump #FightForTrumpJapan #tbs #fujitv #ntv #tvasahi #nhk,und,[],[],[],0,0,0,"['fightfortrump', 'fightforamerica', 'maga', 'stopthesteai', 'trump2020', 'trump', 'donaldtrump', 'fightfortrumpjapan', 'tbs', 'fujitv', 'ntv', 'tvasahi', 'nhk']",[],https://twitter.com/kk_ftt/status/1359123569934962689,False,https://twitter.com/chappie2010/status/1357909212060258304,0,,,,,,,,[],,,,
1359120172972462086,1359120172972462086,2021-02-09 20:41:15 Malay Peninsula Standard Time,2021-02-09,20:41:15,+0800,1220373537854316549,greensteven696,greensteven,,"So, there was a conspiracy to deny Trump re-election... #trump2020 #election2020 #election #stopthesteal   https://t.co/7632dmsWxA",en,[],['https://time.com/5936036/secret-2020-election-campaign/'],[],0,0,0,"['trump2020', 'election2020', 'election', 'stopthesteal']",[],https://twitter.com/greensteven696/status/1359120172972462086,False,,0,,,,,,,,[],,,,
1359119219736993802,1359119219736993802,2021-02-09 20:37:27 Malay Peninsula Standard Time,2021-02-09,20:37:27,+0800,1339260996154654723,linemanreport,Lineman,,#Rumors circulate about #trump2020 starting his own #Socialmedia #Network This news comes almost a month after the #Attack on #Parler by big corporations like #Google and #Apple  https://t.co/jAHoUbxgWP,en,[],[],['https://pbs.twimg.com/media/EtyPt3UVoAE0F_4.jpg'],0,0,0,"['rumors', 'trump2020', 'socialmedia', 'network', 'attack', 'parler', 'google', 'apple']",[],https://twitter.com/LinemanReport/status/1359119219736993802,False,,1,https://pbs.twimg.com/media/EtyPt3UVoAE0F_4.jpg,,,,,,,[],,,,
1359117216680210432,1359117216680210432,2021-02-09 20:29:30 Malay Peninsula Standard Time,2021-02-09,20:29:30,+0800,79068940,rek_syhre,reK,,#trump2020  https://t.co/IKH96HRRuI,und,[],[],"['https://pbs.twimg.com/media/EtyN5JyXMAIrorx.jpg', 'https://pbs.twimg.com/media/EtyN5LHXcAM7wBu.jpg', 'https://pbs.twimg.com/media/EtyN5L_XUAEWqay.jpg', 'https://pbs.twimg.com/media/EtyN5L-XEAIkzxx.jpg']",0,0,0,['trump2020'],[],https://twitter.com/reK_Syhre/status/1359117216680210432,False,,1,https://pbs.twimg.com/media/EtyN5JyXMAIrorx.jpg,,,,,,,[],,,,
1359117181955543040,1359117181955543040,2021-02-09 20:29:22 Malay Peninsula Standard Time,2021-02-09,20:29:22,+0800,1355615822656524289,savagepatriot3,Savage Patriot,, https://t.co/kiQ9R3eQXW #Trump2020 #TheStorm #MAGA “WE’VE CAUGHT THEM ALL”- Donald Trump  https://t.co/Qfk4g00p5T,en,[],['https://youtu.be/Z9_UQR-KhKQ'],['https://pbs.twimg.com/media/EtyN37zWgAEwZqp.jpg'],0,0,0,"['trump2020', 'thestorm', 'maga']",[],https://twitter.com/SavagePatriot3/status/1359117181955543040,False,,1,https://pbs.twimg.com/media/EtyN37zWgAEwZqp.jpg,,,,,,,[],,,,
1359116800189992964,1358729298132238336,2021-02-09 20:27:50 Malay Peninsula Standard Time,2021-02-09,20:27:50,+0800,1261438941816860673,pacita671,Pacita67,,"@snes8bits @cfelmerv @RojoEdwards Bien puesto tu apodo, guatón odioso. Debes un cerdo asqueroso, típico zurdo penca que lanza un comentario estúpido.  Eres un tonto útil como todos los ultraizquierdistas que avalan y apoyan a los p3dófilos. #JAK2022  #Trump2020  👋🤪",es,[],[],[],0,0,0,"['jak2022', 'trump2020']",[],https://twitter.com/Pacita671/status/1359116800189992964,False,,0,,,,,,,,"[{'screen_name': 'snes8bits', 'name': 'Guaton Odioso', 'id': '3118152101'}, {'screen_name': 'cfelmerv', 'name': 'Christel Felmer Candidata Concejal San Miguel', 'id': '2891441434'}, {'screen_name': 'RojoEdwards', 'name': 'Rojo Edwards', 'id': '154158378'}]",,,,
1359098415335038978,1278360164589088768,2021-02-09 19:14:47 Malay Peninsula Standard Time,2021-02-09,19:14:47,+0800,142015635,larryputt,Larry G Putnam,,"@Unpurgeable18 @kcinor @tnolwene @LaughTrackItsT1 @Quin4Trump @Big_crusher1000 @ISafeyet @StillFreeSCOTTY @juzjaz2 @MarilynLavala @thedude77 @ernestleenot @RichardMR64 @STOhuman2020 @Una_Alta_Volta @itsaboutdamnti1 @Franchise2Mr @juliewhizbit @1AmTheTornado @williamtsulliv1 @DarrinMM2 @LynneShasta40 @Hurrica18475798 @nuny2017 @ICanPlainlySee @EubanksKris @MemeMercenary @TecSurfer @Raiden3pt0 @Ryanvanguard1 @davidf4444 @adagioforstring @ken_kinkel @acts_17_11 @77MARKALLENSOVA @RalphS24381648 @qfd_bruce @FaleroJr @Patriot3651 @6831Bryan @DMcDMuffin @neologisme @BraggRoss @FelixAnchor__ @WeStand4theFlag @ChinaInFocusNTD @Techno_Fog @RealJamesWoods Green Jobs, Round to it!?? Where are the JOBS at!??? King Joe Don't Have No JOBS! Is Joe Lying again!??? Where the BEEF?? But #Trump2020 DOES  https://t.co/etphLtlysm",en,[],[],"['https://pbs.twimg.com/media/Etx7q1uXUAIUaC-.png', 'https://pbs.twimg.com/media/Etx8PoTXUAUFEs8.jpg']",0,0,1,['trump2020'],[],https://twitter.com/Larryputt/status/1359098415335038978,False,,1,https://pbs.twimg.com/media/Etx7q1uXUAIUaC-.png,,,,,,,"[{'screen_name': 'Unpurgeable18', 'name': 'Unpurgeable', 'id': '1349104247128788992'}, {'screen_name': 'kcinor', 'name': 'Keith', 'id': '749644270483566593'}, {'screen_name': 'tnolwene', 'name': 'Nolwene', 'id': '1156585712134889472'}, {'screen_name': 'LaughTrackItsT1', 'name': ""Laugh Track ...That's True!"", 'id': '1112995437001097216'}, {'screen_name': 'Quin4Trump', 'name': 'The Future is Red (not blue) 👍🇺🇸👍🇺🇸👍🇺🇸👍', 'id': '3083325002'}, {'screen_name': 'Big_crusher1000', 'name': 'End Liberal White Guilt', 'id': '779262744944119809'}, {'screen_name': 'ISafeyet', 'name': ""IsIt SafeYet -Twit-rr won't let me follow anybody!"", 'id': '1022945687892160512'}, {'screen_name': 'StillFreeSCOTTY', 'name': 'FreeThinkingPatriot Parler@TheRealStillFreeSCOTTY', 'id': '984570229496864768'}, {'screen_name': 'juzjaz2', 'name': 'Lagertha', 'id': '33642243'}, {'screen_name': 'MarilynLavala', 'name': '❌🇺🇸Marilyn Lavala🇺🇸✊❌ #CCOT☦🙏🛐✡🌷🕊💜⚘', 'id': '711291909415817216'}, {'screen_name': 'thedude77', 'name': 'Dr. Kent - I will not comply 🇺🇸', 'id': '14874078'}, {'screen_name': 'ernestleenot', 'name': 'Ernest Leenot', 'id': '1181730748132253697'}, {'screen_name': 'RichardMR64', 'name': 'Richard Mould-Ryan', 'id': '979145239'}, {'screen_name': 'STOhuman2020', 'name': 'OPENYOUREYES2020', 'id': '1157118101814730752'}, {'screen_name': 'Una_Alta_Volta', 'name': 'Marie@nevergiveup', 'id': '1899311851'}, {'screen_name': 'itsaboutdamnti1', 'name': 'its about time', 'id': '1335754687027564546'}, {'screen_name': 'Franchise2Mr', 'name': '1s1k -THE- John L (MAGA)', 'id': '1062011111791345664'}, {'screen_name': 'juliewhizbit', 'name': 'Julie Graham Ellis', 'id': '2844739192'}, {'screen_name': '1AmTheTornado', 'name': 'The Red Cracker 👩🏼\u200d🦰', 'id': '351248874'}, {'screen_name': 'williamtsulliv1', 'name': 'William Sullivan', 'id': '906271134336864256'}, {'screen_name': 'DarrinMM2', 'name': 'Dr President Elect Of The World', 'id': '1351401234025091074'}, {'screen_name': 'LynneShasta40', 'name': 'Lynne C.', 'id': '973252188'}, {'screen_name': 'Hurrica18475798', 'name': 'Hurricane', 'id': '1148003467736363011'}, {'screen_name': 'nuny2017', 'name': 'nuny2017', 'id': '817945971271159808'}, {'screen_name': 'ICanPlainlySee', 'name': 'Henry Kringle 🆓🎁✨', 'id': '759110604456095746'}, {'screen_name': 'EubanksKris', 'name': 'Kris Eubanks', 'id': '2469630440'}, {'screen_name': 'MemeMercenary', 'name': 'President Elect - MemeMercenary', 'id': '1216756708497690624'}, {'screen_name': 'TecSurfer', 'name': 'President Elect TecSurfer', 'id': '526598001'}, {'screen_name': 'Raiden3pt0', 'name': '❌Raiden❌ ⭐⭐⭐ (K)', 'id': '1264590178905137153'}, {'screen_name': 'Ryanvanguard1', 'name': '🇺🇸TheConservative🇺🇸', 'id': '1271852553383243776'}, {'screen_name': 'davidf4444', 'name': 'Nonsense Interceptor ⭐⭐⭐', 'id': '864313800'}, {'screen_name': 'adagioforstring', 'name': '🎼AdagioForStrings🎻', 'id': '22440812'}, {'screen_name': 'ken_kinkel', 'name': 'Kinkel', 'id': '972242986905034752'}, {'screen_name': 'acts_17_11', 'name': 'Warning: Mask-wearing Fascists hate the exempt🇬🇧', 'id': '302871037'}, {'screen_name': '77MARKALLENSOVA', 'name': '💫`MARK´❤`ALLEN´💋`SOVA´💫 ⚘ 💮 Enjoy Each Day 💮', 'id': '1216672238277029889'}, {'screen_name': 'RalphS24381648', 'name': 'El Presidente North America loyalty your word hand', 'id': '1148734370565541890'}, {'screen_name': 'qfd_bruce', 'name': 'DaBruce Still Deboosted🇨🇦 🇺🇸 🇬🇧 🇦🇺🇩🇪🇫🇷', 'id': '335039054'}, {'screen_name': 'FaleroJr', 'name': 'America the Great🇺🇸🇮🇹🇮🇱🇨🇺', 'id': '2875883148'}, {'screen_name': 'Patriot3651', 'name': 'Gary Walters🇺🇸🇺🇸', 'id': '1310072247713959942'}, {'screen_name': '6831Bryan', 'name': '🇨🇦𝖀𝖓𝕯𝖆𝖚𝖓𝖙𝖊𝖉𝖂𝖆𝖗𝖗𝖎𝖔𝖗🇺🇸', 'id': '1058045621964292096'}, {'screen_name': 'DMcDMuffin', 'name': 'DoozyMcMuffin (K)', 'id': '1251545758693822469'}, {'screen_name': 'neologisme', 'name': '🇺🇸🗽Cindy 🦩🦩🦩', 'id': '59874681'}, {'screen_name': 'BraggRoss', 'name': 'Ross Bragg', 'id': '965242080'}, {'screen_name': 'FelixAnchor__', 'name': '🇺🇸 Felix Anchor', 'id': '872233627639263232'}, {'screen_name': 'WeStand4theFlag', 'name': 'Ms MAGA from Michigan', 'id': '1359624056'}, {'screen_name': 'ChinaInFocusNTD', 'name': 'China in Focus - NTD', 'id': '1232414456589750272'}, {'screen_name': 'Techno_Fog', 'name': 'Techno Fog', 'id': '2281325286'}, {'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': '78523300'}]",,,,
1359067075822706690,1359065424403582976,2021-02-09 17:10:15 Malay Peninsula Standard Time,2021-02-09,17:10:15,+0800,836721050008313857,brexitlondon,BrexitLondon,,@NEWZHQ @TheyCallMeDoc1 @JustMelissa18 @JohnC32116200 @CarolinaIsRed @QsSmokin17 @TheJokerMouce @FelixAnchor__ @Right_NotLeft @twk4usa @KellyC7002 @stirednotshakn @QVMQ1 @DatoFreddy @jimscileppi @CarolinaOuest Thank you for including me @NEWZHQ.  #KAG 🇺🇸 #MAGA  #Trump2020 #Trump2024  #ImpeachBiden  #BidenRemorse  #ImpeachPelosi  #DemocratsAreDestroyingAmerica  #DemocratsHateAmerica  #DemocratsTheEnemyWithin  https://t.co/FonvjYIOSS,en,"[{'screen_name': 'newzhq', 'name': 'newzhq', 'id': '1304144286779420675'}]",[],['https://pbs.twimg.com/tweet_video_thumb/EtxgS1JWgAIuLZa.jpg'],0,1,3,"['kag', 'maga', 'trump2020', 'trump2024', 'impeachbiden', 'bidenremorse', 'impeachpelosi', 'democratsaredestroyingamerica', 'democratshateamerica', 'democratstheenemywithin']",[],https://twitter.com/BrexitLondon/status/1359067075822706690,False,,1,https://pbs.twimg.com/tweet_video_thumb/EtxgS1JWgAIuLZa.jpg,,,,,,,"[{'screen_name': 'NEWZHQ', 'name': 'NEWZHQ', 'id': '1304144286779420675'}, {'screen_name': 'TheyCallMeDoc1', 'name': 'TheyCallMeDoc', 'id': '1148239730884120577'}, {'screen_name': 'JustMelissa18', 'name': '🇺🇸 Just Melissa 🇺🇸', 'id': '1348712299209568256'}, {'screen_name': 'JohnC32116200', 'name': 'John Oregon Deplorican', 'id': '1078898578410487809'}, {'screen_name': 'CarolinaIsRed', 'name': '💋❥Rོɛɖ\uf8eaᵒⁿƑʉͫcͧкͭιͪηͣ Fiʀɛ ❥🔥', 'id': '877314270341496832'}, {'screen_name': 'QsSmokin17', 'name': 'SMOKIN’Qs', 'id': '1046654105731633152'}, {'screen_name': 'TheJokerMouce', 'name': 'TheJokerMouce', 'id': '815891575859462144'}, {'screen_name': 'FelixAnchor__', 'name': '🇺🇸 Felix Anchor', 'id': '872233627639263232'}, {'screen_name': 'Right_NotLeft', 'name': 'Always.Right.Not.Left.', 'id': '2500867475'}, {'screen_name': 'twk4usa', 'name': 'Twk4USA', 'id': '1325803514937872385'}, {'screen_name': 'KellyC7002', 'name': '⭐DuchessKellyTrump⭐', 'id': '806227338870607874'}, {'screen_name': 'stirednotshakn', 'name': '🌹🔥Eva Bond🔥🌹', 'id': '1184921783281078279'}, {'screen_name': 'QVMQ1', 'name': 'Victor 1A 2A MAGA KAG TRUMPWON', 'id': '1342914427155148800'}, {'screen_name': 'DatoFreddy', 'name': 'M A G A. Freddy NJ 🇺🇸🇺🇸', 'id': '553440611'}, {'screen_name': 'jimscileppi', 'name': 'Jim Scileppi', 'id': '26426586'}, {'screen_name': 'CarolinaOuest', 'name': '꧁ C a r o l i n a ꧂', 'id': '1307973602889826309'}]",,,,
