country,score,percentage
France,0.8952741067168544,"Pro Trump: 0.10472589328314563 
 Pro Biden: 0.8952741067168544"
Hong Kong,0.2656407717124021,"Pro Trump: 0.7343592282875979 
 Pro Biden: 0.2656407717124021"
South Korea,0.2526489813636484,"Pro Trump: 0.7473510186363517
 Pro Biden: 0.2526489813636484"
Mexico,0.8899399621093933,"Pro Trump: 0.1100600378906067 
 Pro Biden: 0.8899399621093933"
Israel,0.8844767374859837,"Pro Trump: 0.11552326251401634 
 Pro Biden: 0.8844767374859837"
Indonesia,0.9355955634403288,"Pro Trump: 0.06440443655967121 
 Pro Biden: 0.9355955634403288"
United Kingdom,0.8742347839844096,"Pro Trump: 0.12576521601559043 
 Pro Biden: 0.8742347839844096"
India,0.8946207278140772,"Pro Trump: 0.1053792721859228 
 Pro Biden: 0.8946207278140772"
Russian Federation,0.8138640719862067,"Pro Trump: 0.1861359280137933 
 Pro Biden: 0.8138640719862067"
Australia,0.8626809463574905,"Pro Trump: 0.13731905364250951 
 Pro Biden: 0.8626809463574905"
Singapore,0.9222914757431565,"Pro Trump: 0.07770852425684349 
 Pro Biden: 0.9222914757431565"
Canada,0.8663491830422806,"Pro Trump: 0.1336508169577194 
 Pro Biden: 0.8663491830422806"
Afghanistan,0.9511784844010704,"Pro Trump: 0.048821515598929555 
 Pro Biden: 0.9511784844010704"
Germany,0.8117761834133609,"Pro Trump: 0.18822381658663911 
 Pro Biden: 0.8117761834133609"
Kenya,0.8386207571821664,"Pro Trump: 0.16137924281783356 
 Pro Biden: 0.8386207571821664"
Brazil,0.8362144971090233,"Pro Trump: 0.1637855028909767 
 Pro Biden: 0.8362144971090233"
Nigeria,0.4148573454840333,"Pro Trump: 0.5851426545159667
 Pro Biden: 0.4148573454840333"
Japan,0.25192286978352674,"Pro Trump: 0.7480771302164733 
 Pro Biden: 0.25192286978352674"
Taiwan,0.9052662202391016,"Pro Trump: 0.09473377976089836 
 Pro Biden: 0.9052662202391016"
Iran,0.7943569794247887,"Pro Trump: 0.20564302057521133 
 Pro Biden: 0.7943569794247887"
Ukraine,0.2574753997944339,"Pro Trump: 0.7425246002055661
 Pro Biden: 0.2574753997944339"
Saudi Arabia,0.39363652207708655,"Pro Trump: 0.6063634779229135 
 Pro Biden: 0.39363652207708655"
Philippines,0.9463337636583462,"Pro Trump: 0.053666236341653795 
 Pro Biden: 0.9463337636583462"
