,Unnamed: 0,username,content,date,country,replyCount,retweetCount,likeCount,url,sentiment
0,0,memo_ramos_,@JoeBiden you suck!,2020-10-23 02:42:15+00:00,Mexico,0,0,0,https://twitter.com/memo_ramos_/status/1319469151899930625,Pro Biden
1,1,VicoZanetti,"Premio Fassino 2020 , the winner is Matteo Salvini the italian (Cher) leader... 
Biden won. #bidenharis2020 #2020Election #ByeByeTrump https://t.co/1wsYh8pwXG",2020-11-07 19:13:57+00:00,Ukraine,0,0,0,https://twitter.com/VicoZanetti/status/1325154540333641730,Pro Biden
2,2,ambeecious,@SJosephBurns Donald trump,2020-11-24 16:15:29+00:00,India,0,0,4,https://twitter.com/ambeecious/status/1331270220791484418,Pro Trump
3,3,erikgeddes,Get him in the bin! #DUMPTRUMP,2020-11-06 14:28:39+00:00,UK,1,0,3,https://twitter.com/erikgeddes/status/1324720354212909056,Pro Biden
4,4,TheBeardedWit,Why don’t we just all report all @realDonaldTrump’s tweets for the patent bullshit they are? #reportthedrumpf #dumptrump from Twitter.,2020-12-12 20:55:42+00:00,UK,0,0,2,https://twitter.com/TheBeardedWit/status/1337863724766539777,Pro Biden
5,5,PerryCavalari,Throwback #fucktrump https://t.co/ON0s3RA1Mm,2020-11-08 03:36:49+00:00,South Korea,1,0,5,https://twitter.com/PerryCavalari/status/1325281090945253382,Pro Biden
6,6,tyngyd,"‘We’re not stupid! #DonaldTrump  is a genius, that’s what the J stands for.’

I rest my case... https://t.co/g35kjjsT7r",2020-11-18 13:48:21+00:00,UK,0,0,0,https://twitter.com/tyngyd/status/1329058868027068417,Pro Trump
7,7,ZZCOOL,@ConsultingLexi @mike1165 @danisgrande It's sortof like a cutting a family member out for voting for trump if it's actual homophobia that hurts people I understand but usually it's just misunderstandood opinions that aren't used to hurt anyone so you gamble with family contact to get them to change because you said so,2020-12-30 23:49:28+00:00,UK,0,0,0,https://twitter.com/ZZCOOL/status/1344430433421959170,Pro Biden
8,8,CllrMikePowell,"@IsabelOakeshott @Nigel_Farage And he lost 10k betting Trump to win, thoughts and prayers, thoughts and prayers.  🤣🤣🤣🤣🤣",2020-12-30 23:39:38+00:00,UK,0,0,1,https://twitter.com/CllrMikePowell/status/1344427961144004610,Pro Biden
9,9,iamshooRen,I sense #Trump wining again! #USElection #Election2020,2020-11-04 05:37:36+00:00,China,0,0,0,https://twitter.com/iamshooRen/status/1323861937462013952,Pro Biden
10,10,alfonsoroldan4,@JackGuercio @ChairosY Trump!,2020-10-23 04:27:03+00:00,Mexico,0,0,1,https://twitter.com/alfonsoroldan4/status/1319495526795104256,Pro Trump
11,11,scienceduck,Trump must be losing his mind right now #peepeecomanderinchief #TrumpMeltdown #TrumpIsLosing,2020-11-06 14:51:50+00:00,Canada,0,0,5,https://twitter.com/scienceduck/status/1324726188808511488,Pro Biden
12,12,simondnoble,"@scottdesigns @WaterfrontPatio @jane_austen21 @Barnes_Law @Rasmussen_Poll Ya'll close to sedition? What half the country? 74 million voters who believe the election was rigged for the racist Beijing Biden?

The propaganda vacuum is CNN NBC and the likes. They are left wing.

America needs an enema and swiftly. Civil war is brewing",2020-12-29 12:27:59+00:00,UK,0,0,0,https://twitter.com/simondnoble/status/1343896545649946627,Pro Trump
13,13,Tenga30072097,This is history of truth and justice Tibetan and Thank You #DonaldTrump and his administration https://t.co/OdS9DGZnak,2020-12-28 09:21:46+00:00,India,0,0,1,https://twitter.com/Tenga30072097/status/1343487293059858433,Pro Trump
14,14,helinmartini,""" I love seeing TRUMP lose, it's my daily medicine, my weekly energy, my monthly inspiration and my yearly motivation. His loss is the only reason i'm still alive, i was born to love and enjoy the failure that he has achieved ""
#ByeByeTrump https://t.co/D4vBswc4MW",2020-11-07 22:48:10+00:00,UK,1,0,9,https://twitter.com/helinmartini/status/1325208451161579525,Pro Biden
15,15,wilkrichard2,As soon as I put Fox News on Sleepy Joe Biden is on TV of course he’s trashing our president but his words are so evil I never heard such a thing from his 👄 Mouth,2020-09-06 16:22:19+00:00,Canada,0,0,0,https://twitter.com/wilkrichard2/status/1302643298910318592,Pro Trump
16,16,trajanojorge,"@KamalaHarris @Antonio50704191 @JoeBiden Lula said that - first we save people and the economy comes together.
 They are on the right path !!!",2020-11-23 01:49:53+00:00,Brazil,0,0,0,https://twitter.com/trajanojorge/status/1330690001118629889,Pro Biden
17,17,mcmadal,One of the best #Biden news https://t.co/BJP7klundm,2020-12-13 05:47:58+00:00,UK,0,0,0,https://twitter.com/mcmadal/status/1337997671131467776,Pro Trump
