user,content,url,date,replyCount,retweetCount,likeCount,mentionedUsers
"{'username': 'GladimhereP', 'displayname': 'GLADimhere PUTIN', 'id': 1230984376185507848, 'description': 'Parody Account. Not Affiliated with #Russian President4Life #Putin. But More Honest and Less Repressive. And More Cuter. 👍🇷🇺', 'rawDescription': 'Parody Account. Not Affiliated with #Russian President4Life #Putin. But More Honest and Less Repressive. And More Cuter. 👍🇷🇺', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2020, 2, 21, 22, 35, 44, tzinfo=datetime.timezone.utc), 'followersCount': 124, 'friendsCount': 844, 'statusesCount': 525, 'favouritesCount': 272, 'listedCount': 0, 'mediaCount': 95, 'location': 'Moscow, Russia', 'protected': False, 'linkUrl': 'http://eDemocrats.com', 'linkTcourl': 'https://t.co/QtMXcsCqCy', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1230994593098891265/8mSJq0wI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1230984376185507848/1582327062'}",@LaraLeaTrump I gave Big Money Rubles to #Trump2020 #MAGA campaignings ! Pootie now report #BallotFraud to @realDonaldTrump and @DonaldJTrumpJr ! #Putin demand as such: Where is my #LapDance from loose #American girl Limberly #KimberlyGuilfoyle ?!? 🇷🇺👍 https://t.co/4G77ymEuyj,https://twitter.com/GladimhereP/status/1326579892687933445,2020-11-11 17:37:47+00:00,0,0,0,"[{'username': 'LaraLeaTrump', 'displayname': 'Lara Trump', 'id': 75541946, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'realDonaldTrump', 'displayname': 'Donald J. Trump', 'id': 25073877, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'DonaldJTrumpJr', 'displayname': 'Donald Trump Jr.', 'id': 39344374, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'alwaysbeemagic1', 'displayname': 'vee_vilka', 'id': 1195042605043605505, 'description': '20, Russian/American✌🏻 Bachelors in Programming💻', 'rawDescription': '20, Russian/American✌🏻 Bachelors in Programming💻', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2019, 11, 14, 18, 15, 45, tzinfo=datetime.timezone.utc), 'followersCount': 1, 'friendsCount': 8, 'statusesCount': 63, 'favouritesCount': 54, 'listedCount': 0, 'mediaCount': 4, 'location': 'California, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1324612017483821056/6surHXMh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1195042605043605505/1604647097'}",I wanna have same audacity as Democrats in this election. #ElectionDay #2020Elections #trump2020 #3Nov #Republicans @realDonaldTrump @GOP #Elections2020,https://twitter.com/alwaysbeemagic1/status/1324703465776549890,2020-11-06 13:21:32+00:00,0,0,0,"[{'username': 'realDonaldTrump', 'displayname': 'Donald J. Trump', 'id': 25073877, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'GOP', 'displayname': 'GOP', 'id': 11134252, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'EliTweetin', 'displayname': 'eli', 'id': 1110060486, 'description': 'Much from everything', 'rawDescription': 'Much from everything', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 1, 21, 20, 56, 41, tzinfo=datetime.timezone.utc), 'followersCount': 74, 'friendsCount': 350, 'statusesCount': 1294, 'favouritesCount': 6707, 'listedCount': 2, 'mediaCount': 36, 'location': 'Lebanon', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1345375436570816513/QUSbFGgN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1110060486/1566559838'}","How can anyone not vote for you ! This is epic 🤣 @realDonaldTrump #TrumpvsBiden
#Trump2020 #Vote2020 #VoteTrump
https://t.co/M84QaUJ4yO",https://twitter.com/EliTweetin/status/1324422146978926593,2020-11-05 18:43:41+00:00,0,0,0,"[{'username': 'realDonaldTrump', 'displayname': 'Donald J. Trump', 'id': 25073877, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'juhainasakhr', 'displayname': 'جُهَيْنَة', 'id': 1269118453, 'description': 'legal drug dealer ⚕ | Amapaense 🇧🇷 | 🇱🇧', 'rawDescription': 'legal drug dealer ⚕ | Amapaense 🇧🇷 | 🇱🇧', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 3, 15, 7, 44, 44, tzinfo=datetime.timezone.utc), 'followersCount': 117, 'friendsCount': 124, 'statusesCount': 172, 'favouritesCount': 182, 'listedCount': 0, 'mediaCount': 31, 'location': 'Lebanon', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1325194308002193408/BH-hjgk6_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1269118453/1604676127'}","It's funny how Lebanese people be teaching Americans which candidate is more fit to be president while they've been electing the same people for over 30 years smh🤦🏻‍♀️
#USAElections2020 #USElection2020 
#USA #Trump2020 #TrumpvsBiden #Biden2020
#الانتخابات_الامريكيه #ترامب #بايدن",https://twitter.com/juhainasakhr/status/1324113281041289216,2020-11-04 22:16:21+00:00,0,0,3,
"{'username': 'assadalia2', 'displayname': 'Assad Alia (أسد عليا)', 'id': 1414042250, 'description': 'Syrian🇸🇾\nMoney💰\nFun😄', 'rawDescription': 'Syrian🇸🇾\nMoney💰\nFun😄', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 5, 8, 23, 6, 53, tzinfo=datetime.timezone.utc), 'followersCount': 82, 'friendsCount': 691, 'statusesCount': 3347, 'favouritesCount': 2382, 'listedCount': 1, 'mediaCount': 83, 'location': 'Syria,damascus', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1265951015829938178/V72L4COm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1414042250/1598042059'}","This is how elections done in USA
#Biden
#Trump2020 https://t.co/d5k6viQ2f5",https://twitter.com/assadalia2/status/1324060374103109632,2020-11-04 18:46:07+00:00,0,0,0,
"{'username': 'Mgnsce', 'displayname': 'Mariana', 'id': 255945378, 'description': 'ICO, STO & BLOCKCHAIN TOKEN MARKETS LEGAL ADVISOR', 'rawDescription': 'ICO, STO & BLOCKCHAIN TOKEN MARKETS LEGAL ADVISOR', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 2, 22, 10, 24, 46, tzinfo=datetime.timezone.utc), 'followersCount': 1178, 'friendsCount': 352, 'statusesCount': 6991, 'favouritesCount': 16647, 'listedCount': 5, 'mediaCount': 546, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1321794014761390082/RiaEhK9__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/255945378/1607335252'}",Michigan for trump 😂😂 this is real not photoshopped I’m dying #Trump2020 ♥️♥️♥️ https://t.co/DR1x1o06v4,https://twitter.com/Mgnsce/status/1324024338102820864,2020-11-04 16:22:56+00:00,2,1,11,
"{'username': 'VincentFeiner', 'displayname': 'Vincent Feiner FCIPD', 'id': 1095136646, 'description': 'Global Labor Employee Relations Consultant', 'rawDescription': 'Global Labor Employee Relations Consultant', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 1, 16, 12, 57, 30, tzinfo=datetime.timezone.utc), 'followersCount': 146, 'friendsCount': 267, 'statusesCount': 4703, 'favouritesCount': 6330, 'listedCount': 10, 'mediaCount': 767, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3116686039/5195b2166fdf588f84771fe139671dfc_normal.jpeg', 'profileBannerUrl': None}",Whilst he falsely claimed victory early this morning like a crooked third world Despot. In Cold Light of Day it seems that Biden has Dumped on Trump. US &amp; Worlds nightmare is all but over. #USElection2020 #Biden #Trump2020 https://t.co/4Goe6eqB9p,https://twitter.com/VincentFeiner/status/1324009301078380549,2020-11-04 15:23:10+00:00,0,1,2,
"{'username': 'cekkihoti', 'displayname': 'cekki hoti', 'id': 295421987, 'description': 'Bodybuilding', 'rawDescription': 'Bodybuilding', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 5, 9, 0, 33, 45, tzinfo=datetime.timezone.utc), 'followersCount': 345, 'friendsCount': 1649, 'statusesCount': 670, 'favouritesCount': 2364, 'listedCount': 3, 'mediaCount': 198, 'location': 'New York, USA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1267146366783979523/M3Im-yMi_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/295421987/1469199381'}","Diploma thesis,I Graduated @realDonaldTrump wins the elections,same day two victories #VoteTrump2020 #Elections2020 #ElectionDay #Trump2020 https://t.co/2lvAbAG6zX",https://twitter.com/cekkihoti/status/1323989779478925319,2020-11-04 14:05:36+00:00,0,1,2,"[{'username': 'realDonaldTrump', 'displayname': 'Donald J. Trump', 'id': 25073877, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]"
"{'username': 'DivelMonn', 'displayname': '𝑀𝑜𝓃𝒾𝓃 𝓃𝒶𝒿𝒾', 'id': 1469842963, 'description': '𝑊𝑖𝑛𝑡𝑒𝑟 𝑖𝑠 𝑐𝑜𝑚𝑖𝑛𝑔.. ❄️', 'rawDescription': '𝑊𝑖𝑛𝑡𝑒𝑟 𝑖𝑠 𝑐𝑜𝑚𝑖𝑛𝑔.. ❄️', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2013, 5, 30, 14, 6, 29, tzinfo=datetime.timezone.utc), 'followersCount': 53, 'friendsCount': 611, 'statusesCount': 433, 'favouritesCount': 3816, 'listedCount': 0, 'mediaCount': 189, 'location': 'Istanbul Turkey ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1353094609233186821/aQ_xYGQM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1469842963/1581106874'}",🤣 I think that’s it #Trump2020 #Election2020 https://t.co/iznse4bQwN,https://twitter.com/DivelMonn/status/1323905973787021312,2020-11-04 08:32:35+00:00,0,0,0,
"{'username': 'VedatDundar', 'displayname': '_HEART_REPAIRMAN_', 'id': 176422559, 'description': 'SEN BANA NE KA, BEN SANA O KA ...', 'rawDescription': 'SEN BANA NE KA, BEN SANA O KA ...', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 8, 9, 14, 6, 20, tzinfo=datetime.timezone.utc), 'followersCount': 2476, 'friendsCount': 2980, 'statusesCount': 49197, 'favouritesCount': 49872, 'listedCount': 9, 'mediaCount': 2557, 'location': 'Batman Merkez, Batman', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1355535750541041668/35O9VciX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/176422559/1530118702'}","#Trump2020
Man won! https://t.co/BAT3lgeYky",https://twitter.com/VedatDundar/status/1323901611073261568,2020-11-04 08:15:15+00:00,0,0,0,
